f1,f2,f3,f4,f5,f6,y
5.59,9.19,2.55,5.4,5.13,4.55,118.81
2.95,9.64,1.4,7.14,5.1,4.45,118.66
6.58,9.76,7.15,5.92,1.84,6.22,146.25
9.38,4.73,8.25,9.37,2.26,1.13,113.68
9.43,3.65,1.3,7.75,5.68,6.82,118.61
6.5,9.64,8.03,6.96,4.39,3.33,137.5
3.42,8.61,9.8,2.28,9.9,7.67,144.33
6.53,4.29,6.28,3.88,2.19,4.8,99.86
7.54,1.57,1.24,3.73,1.72,9.08,97.77
6.12,1.69,8.82,8.3,4.35,7.45,129.4
6.95,2.21,5.9,4.73,9.57,1.85,82.24
2.71,2.65,1.35,6.88,7.28,7.74,103.96
2.42,9.95,3.71,2.38,2.06,8.88,130.58
8.05,8.3,3.76,4.6,7.06,4.53,121.52
7.46,1.96,1.95,4.93,3.29,4.67,81.6
4.73,9.09,3.39,1.01,5.64,6.19,111.9
7.83,2.67,6.24,8.95,5.85,7.33,133.36
6.87,3.73,6.29,7.7,4.64,2.7,102.9
4.7,3.22,1.45,6.52,3.51,1.29,67.18
7.32,4.65,6.02,3.59,4.99,3.87,98.52
1.03,5.88,8.75,1.49,3.12,3.97,90.61
7.07,8.11,6.87,8.53,2.57,3.0,129.99
9.67,8.08,2.75,1.21,4.15,9.65,134.88
2.5,6.32,3.12,1.08,7.9,7.13,100.96
2.65,1.97,5.94,3.29,4.63,9.45,107.46
1.76,5.24,3.96,3.58,3.18,6.79,99.84
7.65,7.13,7.26,6.9,2.4,1.4,111.13
8.49,9.12,7.36,5.11,4.45,2.74,125.99
3.64,2.5,1.33,8.75,3.31,7.31,105.94
4.57,3.53,8.35,2.01,1.53,1.4,69.81
1.59,3.38,1.02,5.78,2.05,8.64,100.15
4.81,1.42,4.66,5.36,4.16,1.12,63.02
6.22,8.96,3.51,7.57,5.92,5.98,139.85
9.46,2.86,2.41,4.3,2.01,9.2,114.86
8.69,4.24,6.06,2.96,7.38,6.14,112.82
4.19,7.4,6.85,1.11,9.43,5.37,112.02
5.59,8.83,5.87,8.86,2.99,9.17,166.39
1.6,5.53,5.68,4.74,4.04,3.67,92.91
3.87,1.51,1.57,9.71,8.27,9.32,123.03
4.37,4.82,8.22,5.35,9.88,7.07,131.2
4.42,4.88,6.73,6.15,8.77,1.47,95.62
2.07,1.91,4.73,1.29,2.86,7.8,82.7
3.35,1.7,8.39,8.17,6.9,10.0,139.95
8.34,8.81,5.27,1.67,9.52,7.73,139.12
1.94,5.62,6.46,5.65,3.91,8.24,127.31
3.56,6.81,7.38,7.23,6.62,4.38,125.13
6.79,3.15,1.21,7.31,1.33,1.62,73.25
5.19,6.76,6.77,9.53,3.43,9.11,160.7
7.41,3.06,1.37,1.42,1.43,3.59,62.88
3.01,7.48,3.95,10.0,9.44,7.31,148.57
8.94,8.99,3.19,9.35,1.6,8.48,162.28
1.7,2.75,7.76,5.59,4.11,4.89,96.24
6.9,5.45,9.17,2.76,4.91,2.87,101.73
5.88,8.51,1.85,3.57,7.16,8.52,132.42
6.61,8.89,4.55,1.6,5.59,7.35,127.41
4.52,7.68,7.7,5.74,3.2,2.93,114.28
4.59,6.17,5.8,9.57,6.12,3.19,120.97
5.08,6.75,5.26,7.46,6.4,3.31,115.79
7.54,6.34,8.56,7.65,6.4,2.18,122.54
5.6,6.26,4.25,6.48,3.05,2.64,100.06
8.07,3.66,7.04,7.94,1.78,8.7,141.3
3.43,7.03,4.87,7.82,4.31,5.72,126.53
9.72,5.03,2.9,9.61,8.76,2.99,118.43
2.74,1.23,8.0,8.82,9.62,3.6,102.13
4.55,2.94,4.65,8.73,6.47,6.4,117.54
2.63,4.35,9.25,3.05,5.76,8.01,120.78
7.57,6.22,8.07,2.77,5.39,3.59,108.46
4.63,8.37,9.9,3.2,1.12,2.01,106.79
4.63,5.33,6.21,7.03,9.35,9.27,147.63
9.42,1.29,7.22,8.75,8.85,2.12,103.52
4.44,7.47,5.67,8.44,1.39,4.8,127.19
8.95,5.9,4.42,2.92,1.34,3.9,97.08
6.62,2.23,6.12,5.58,8.52,1.21,80.85
4.36,6.14,1.39,7.69,3.18,1.88,88.81
9.66,4.79,3.11,9.19,1.96,8.82,144.24
7.27,3.51,2.01,1.3,1.67,9.41,101.45
5.68,4.77,6.46,1.31,5.76,9.61,123.25
4.72,9.01,1.13,8.61,4.44,4.4,123.16
3.44,3.23,7.65,5.48,5.92,8.49,124.76
7.63,7.78,1.87,5.89,2.43,7.91,133.22
9.01,5.6,8.24,4.28,8.96,2.45,111.52
6.84,4.97,9.02,2.38,5.39,5.88,115.78
9.46,7.45,2.1,1.44,2.47,1.77,81.32
6.9,8.08,7.81,7.41,2.52,2.79,126.53
3.18,2.46,4.63,8.49,9.29,9.19,130.94
9.03,7.07,8.16,1.06,6.19,6.69,128.46
5.68,4.93,1.28,7.15,9.56,4.18,103.09
4.59,2.77,9.35,2.84,4.41,4.56,94.21
2.14,5.65,6.47,6.36,8.03,9.77,144.03
9.98,6.5,4.25,3.69,5.92,5.45,118.59
5.94,4.26,4.74,8.35,7.22,2.24,101.46
8.58,4.02,3.56,1.29,9.67,8.75,115.27
5.51,3.94,3.52,9.12,1.96,3.27,99.34
4.59,4.45,3.71,1.02,7.98,7.71,100.88
2.99,4.33,9.11,7.06,3.04,8.51,137.3
3.46,10.0,4.61,3.2,1.61,2.93,102.74
2.21,2.12,5.82,4.95,9.49,6.49,100.71
1.21,1.51,3.69,2.95,6.5,2.04,51.58
6.53,9.16,3.17,1.25,3.13,1.26,84.06
3.55,6.49,6.87,6.53,2.03,4.02,112.43
